,name,link,price
0,Astra,https://wpastra.com/, Free version at WordPress.org. Astra Pro starts at $59 for use on unlimited sites.
1,GeneratePress,https://generatepress.com/, Free version at WordPress.org. GeneratePress Premium starts at $59 for use on up to 500 sites.
2,Ohio,https://themeforest.net/item/ohio-creative-wordpress-theme/25193838, $59; which includes lifetime updates for a single website.
3,Kadence Theme,https://www.kadencewp.com/kadence-theme/, Free version at WordPress.org. Kadence Theme Pro starts at $79 for use on unlimited sites.
4,Avada,https://themeforest.net/item/avada-responsive-multipurpose-theme/2833226/, $69; which includes lifetime updates for a single website.
5,Honshi,https://themeforest.net/item/honshi-creative-multi-purpose-wordpress-theme/19583949, $39; which includes lifetime updates for a single website.
6,Neve,https://themeisle.com/themes/neve/, Free version at WordPress.org. Neve Pro starts at $99 for use on unlimited sites (there’s also a first-year discount that lowers the first-year price to $69).
7,Divi,https://www.elegantthemes.com/gallery/divi/, $89 for use on unlimited sites; which includes access to all of the developer’s other themes and plugins.
8,InBio,https://themeforest.net/item/inbio-personal-portfolio-wordpress-theme/39221039, $39; which includes lifetime updates for a single website.
9,Pile,https://pixelgrade.com/themes/portfolio/pile/, $245 for use on a single website and lifetime updates.
10,Perfect Portfolio,https://wordpress.org/themes/perfect-portfolio/, Free version at WordPress.org. Perfect Portfolio Pro starts at $59.
11,Portfolio Web,https://wordpress.org/themes/portfolio-web/, Free version at WordPress.org. Portfolio Web Pro starts at $55.
12,Rhye,https://themeforest.net/item/rhye-ajax-portfolio-wordpress-theme/28453694, $39; which includes lifetime updates for a single website.
13,Most,https://themeforest.net/item/most-creative-agency-and-portfolio-theme/41860716, $49; which includes lifetime updates for a single website.
14,OceanWP,https://oceanwp.org/, Free version at WordPress.org. Premium bundles start at $54 for use on up to three websites.
15,Norebro,https://themeforest.net/item/norebro-creative-multipurpose-wordpress-theme/20834703, $59; which includes lifetime updates for a single website.
16,Clean Portfolio,https://wordpress.org/themes/cleanportfolio/, Free version at WordPress.org. Clean Portfolio Pro starts at $60.
17,Werkstatt,https://themeforest.net/item/werkstatt-creative-portfolio-theme/17870799, $89; which includes lifetime updates for a single website.
18,Eksell,https://andersnoren.se/teman/eksell-wordpress-theme/, Free
19,Kalium,https://themeforest.net/item/kalium-creative-theme-for-professionals/10860525, $69; which includes lifetime updates for a single website.
20,Inspiro Blocks,https://www.wpzoom.com/themes/inspiro-blocks/, Free version. Inspiro Blocks Pro starts at $69 for use on unlimited sites.
21,Clean Folio,https://dessign.net/clean-folio-responsive-theme/, $59
22,Brooklyn,https://themeforest.net/item/brooklyn-responsive-multipurpose-wordpress-theme/6221179, $59; which includes lifetime updates for a single website.
23,Lense,https://www.cssigniter.com/themes/lense/, $49 for the standalone theme or $79 for access to all of the developer’s themes and plugins.
24,Pofo,https://themeforest.net/item/pofo-creative-portfolio-and-blog-wordpress-theme/21023319, $59; which includes lifetime updates for a single website.
25,vCamp,https://themeforest.net/item/vcamp-creative-agency-wordpress-theme/35176645, $49; which includes lifetime updates for a single website.
26,Wavo,https://themeforest.net/item/wavo-creative-portfolio-agency-theme/26552218, $39; which includes lifetime updates for a single website.
27,RyanCV,https://themeforest.net/item/ryancv-vcard-resume-wordpress-theme/22890097, $39; which includes lifetime updates for a single website.
28,Hamilton,https://andersnoren.se/teman/hamilton-wordpress-theme/, Free
29,Bridge,https://themeforest.net/item/bridge-creative-multipurpose-wordpress-theme/7315054, $69; which includes lifetime updates for a single website.
